Name,Section,Title,Subject,Topic,OpenSeats,Credits
Diss-Cand,037,Diss-Cand,Anthropological Archaeology (ANTHRARC) Open Sections,,"  24",8.00
Diss-Cand,044,Diss-Cand,Anthropological Archaeology (ANTHRARC) Open Sections,,"  25",8.00
Intro to Anthro,003,Intro to Anthro,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"   1",4.00
Intro to Anthro,004,Intro to Anthro,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  22",4.00
Intro to Anthro,005,Intro to Anthro,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  19",4.00
Intro to Anthro,006,Intro to Anthro,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",4.00
Intro to Anthro,007,Intro to Anthro,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  18",4.00
Intro to Anthro,008,Intro to Anthro,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"   7",4.00
Intro to Anthro,009,Intro to Anthro,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  13",4.00
Intro to Anthro,010,Intro to Anthro,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  22",4.00
Intro to Anthro,011,Intro to Anthro,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"   5",4.00
Intro to Anthro,012,Intro to Anthro,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  21",4.00
Intro to Anthro,013,Intro to Anthro,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  24",4.00
Intro to Anthro,014,Intro to Anthro,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  16",4.00
Intro to Anthro,001,Intro to Anthro,"Anthropology,Cultural (ANTHRCUL) Open Sections",," ",4.00
Intro to Anthro,027,Intro to Anthro,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"   9",4.00
Intro to Anthro,028,Intro to Anthro,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"   5",4.00
Intro to Anthro,029,Intro to Anthro,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"   2",4.00
Intro to Anthro,031,Intro to Anthro,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  11",4.00
Intro to Anthro,032,Intro to Anthro,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  17",4.00
Intro to Anthro,034,Intro to Anthro,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"   8",4.00
Intro to Anthro,035,Intro to Anthro,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"   6",4.00
Intro to Anthro,036,Intro to Anthro,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  14",4.00
Intro to Anthro,037,Intro to Anthro,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  12",4.00
Intro to Anthro,038,Intro to Anthro,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  20",4.00
Intro to Anthro,039,Intro to Anthro,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  22",4.00
Intro to Anthro,041,Intro to Anthro,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  22",4.00
Intro to Anthro,042,Intro to Anthro,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  21",4.00
Intro to Anthro,043,Intro to Anthro,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  19",4.00
Intro to Anthro,044,Intro to Anthro,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"   9",4.00
Intro to Anthro,002,Intro to Anthro,"Anthropology,Cultural (ANTHRCUL) Open Sections",," ",4.00
1st Yr Sem Anthro,001,1st Yr Sem Anthro,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  18",3.00
1st Yr Sem Anthro,002,1st Yr Sem Anthro,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  18",3.00
Comp Study-Cultures,002,Comp Study-Cultures,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"   1",4.00
Comp Study-Cultures,003,Comp Study-Cultures,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"   8",4.00
Comp Study-Cultures,001,Comp Study-Cultures,"Anthropology,Cultural (ANTHRCUL) Open Sections",," ",4.00
Digital Futures,002,Digital Futures,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"   4",4.00
Digital Futures,003,Digital Futures,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"   9",4.00
Digital Futures,004,Digital Futures,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  19",4.00
Digital Futures,001,Digital Futures,"Anthropology,Cultural (ANTHRCUL) Open Sections",," ",4.00
"Sound, Music, Noise",002,"Sound, Music, Noise","Anthropology,Cultural (ANTHRCUL) Open Sections",,"  14",4.00
"Sound, Music, Noise",003,"Sound, Music, Noise","Anthropology,Cultural (ANTHRCUL) Open Sections",,"  17",4.00
"Sound, Music, Noise",004,"Sound, Music, Noise","Anthropology,Cultural (ANTHRCUL) Open Sections",,"  13",4.00
"Sound, Music, Noise",001,"Sound, Music, Noise","Anthropology,Cultural (ANTHRCUL) Open Sections",," ",4.00
Sociocul Anth Topics,001,Sociocul Anth Topics,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  16",3.00
Ling Anth Topics,002,Ling Anth Topics,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  19",3.00
Childbirth&Culture,002,Childbirth&Culture,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"   5",4.00
Childbirth&Culture,004,Childbirth&Culture,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"   4",4.00
Childbirth&Culture,005,Childbirth&Culture,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"   5",4.00
Childbirth&Culture,006,Childbirth&Culture,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"   7",4.00
Childbirth&Culture,007,Childbirth&Culture,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  15",4.00
Childbirth&Culture,001,Childbirth&Culture,"Anthropology,Cultural (ANTHRCUL) Open Sections",," ",4.00
Medicine & Healing,002,Medicine & Healing,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"   3",4.00
Medicine & Healing,003,Medicine & Healing,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"   2",4.00
Medicine & Healing,004,Medicine & Healing,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  13",4.00
Medicine & Healing,005,Medicine & Healing,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"   7",4.00
Medicine & Healing,001,Medicine & Healing,"Anthropology,Cultural (ANTHRCUL) Open Sections",," ",4.00
Cul&Thought&Meaning,001,Cul&Thought&Meaning,"Anthropology,Cultural (ANTHRCUL) Open Sections",," ",4.00
Med Anth of Kinship,001,Med Anth of Kinship,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  11",3.00
Colonial Latin Amer,002,Colonial Latin Amer,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  14",1.00-4.00
Colonial Latin Amer,003,Colonial Latin Amer,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  13",1.00-4.00
Colonial Latin Amer,004,Colonial Latin Amer,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  10",1.00-4.00
Colonial Latin Amer,001,Colonial Latin Amer,"Anthropology,Cultural (ANTHRCUL) Open Sections",," ",1.00-4.00
Anthro of Islam,001,Anthro of Islam,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"   4",3.00
Topics-Sociocul Anth,001,Topics-Sociocul Anth,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  18",3.00
Ug Sem-Sociocul Anth,002,Ug Sem-Sociocul Anth,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  12",3.00
Ethnographic Methods,001,Ethnographic Methods,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"   3",3.00
Language&Culture,002,Language&Culture,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  11",4.00
Language&Culture,003,Language&Culture,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"   6",4.00
Language&Culture,004,Language&Culture,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  10",4.00
Language&Culture,001,Language&Culture,"Anthropology,Cultural (ANTHRCUL) Open Sections",," ",4.00
After Conviction,001,After Conviction,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"   3",3.00
Ethnography Lab,001,Ethnography Lab,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  11",3.00
Anthro of Insurgency,001,Anthro of Insurgency,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"   7",3.00
Anthropology Topics,002,Anthropology Topics,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  18",3.00
Anthropology Topics,003,Anthropology Topics,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"   4",3.00
Lang/Culture S Asia,001,Lang/Culture S Asia,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"   9",3.00
Face-to-Face Interac,001,Face-to-Face Interac,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"   9",3.00
Honors Soc/Ling Anth,001,Honors Soc/Ling Anth,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"   6",3.00
China Social Science,001,China Social Science,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  21",3.00
Socio-Cul Theory I,001,Socio-Cul Theory I,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",4.00
Issues-Sociocul Anth,001,Issues-Sociocul Anth,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"   8",3.00
Issues-Sociocul Anth,002,Issues-Sociocul Anth,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"   8",3.00
Intro to Ling Anthro,001,Intro to Ling Anthro,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  14",3.00
Topics-Sociocul Anth,001,Topics-Sociocul Anth,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  13",3.00
Sem-Anth & Hist II,001,Sem-Anth & Hist II,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"   5",3.00
Curr Dev Anth Theory,001,Curr Dev Anth Theory,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  20",1.00
Sociocul Workshop,001,Sociocul Workshop,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  15",1.00
Grad Proseminar,001,Grad Proseminar,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  24",2.00
Ling Anth Lab,001,Ling Anth Lab,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  12",1.00-3.00
Sociocultural Lab,001,Sociocultural Lab,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  14",1.00-2.00
Anthro/Hist Workshop,001,Anthro/Hist Workshop,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  14",1.00
Diss-Precand,003,Diss-Precand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",1.00-8.00
Diss-Precand,005,Diss-Precand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",1.00-8.00
Diss-Precand,006,Diss-Precand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",1.00-8.00
Diss-Precand,007,Diss-Precand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",1.00-8.00
Diss-Precand,008,Diss-Precand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",1.00-8.00
Diss-Precand,009,Diss-Precand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",1.00-8.00
Diss-Precand,010,Diss-Precand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",1.00-8.00
Diss-Precand,011,Diss-Precand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",1.00-8.00
Diss-Precand,012,Diss-Precand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",1.00-8.00
Diss-Precand,016,Diss-Precand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",1.00-8.00
Diss-Precand,017,Diss-Precand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",1.00-8.00
Diss-Precand,018,Diss-Precand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",1.00-8.00
Diss-Precand,019,Diss-Precand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",1.00-8.00
Diss-Precand,020,Diss-Precand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",1.00-8.00
Diss-Precand,021,Diss-Precand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",1.00-8.00
Diss-Precand,041,Diss-Precand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",1.00-8.00
Diss-Precand,043,Diss-Precand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",1.00-8.00
Diss-Precand,045,Diss-Precand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",1.00-8.00
Diss-Precand,054,Diss-Precand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",1.00-8.00
Diss-Precand,058,Diss-Precand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",1.00-8.00
Diss-Precand,059,Diss-Precand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",1.00-8.00
Diss-Precand,060,Diss-Precand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",1.00-8.00
Diss-Precand,065,Diss-Precand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",1.00-8.00
Diss-Precand,067,Diss-Precand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",1.00-8.00
Diss-Precand,084,Diss-Precand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",1.00-8.00
Diss-Precand,089,Diss-Precand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",1.00-8.00
Diss-Precand,091,Diss-Precand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",1.00-8.00
Diss-Precand,297,Diss-Precand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",1.00-8.00
Diss-Precand,298,Diss-Precand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",1.00-8.00
G S I Training,001,G S I Training,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  35",1.00
Diss-Cand,003,Diss-Cand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",8.00
Diss-Cand,006,Diss-Cand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",8.00
Diss-Cand,007,Diss-Cand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",8.00
Diss-Cand,009,Diss-Cand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  24",8.00
Diss-Cand,010,Diss-Cand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",8.00
Diss-Cand,011,Diss-Cand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",8.00
Diss-Cand,012,Diss-Cand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",8.00
Diss-Cand,016,Diss-Cand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  24",8.00
Diss-Cand,017,Diss-Cand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  24",8.00
Diss-Cand,018,Diss-Cand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",8.00
Diss-Cand,019,Diss-Cand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",8.00
Diss-Cand,020,Diss-Cand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  24",8.00
Diss-Cand,021,Diss-Cand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",8.00
Diss-Cand,041,Diss-Cand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",8.00
Diss-Cand,043,Diss-Cand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",8.00
Diss-Cand,045,Diss-Cand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",8.00
Diss-Cand,054,Diss-Cand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",8.00
Diss-Cand,058,Diss-Cand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  24",8.00
Diss-Cand,059,Diss-Cand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",8.00
Diss-Cand,060,Diss-Cand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",8.00
Diss-Cand,065,Diss-Cand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",8.00
Diss-Cand,067,Diss-Cand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",8.00
Diss-Cand,084,Diss-Cand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  23",8.00
Diss-Cand,089,Diss-Cand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",8.00
Diss-Cand,091,Diss-Cand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",8.00
Diss-Cand,297,Diss-Cand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  24",8.00
Diss-Cand,298,Diss-Cand,"Anthropology,Cultural (ANTHRCUL) Open Sections",,"  25",8.00
"Media, Past Present",002,"Media, Past Present",Communication Studies (COMM) Open Sections,,"  16",4.00
"Media, Past Present",003,"Media, Past Present",Communication Studies (COMM) Open Sections,,"   9",4.00
"Media, Past Present",006,"Media, Past Present",Communication Studies (COMM) Open Sections,,"   7",4.00
"Media, Past Present",007,"Media, Past Present",Communication Studies (COMM) Open Sections,,"  14",4.00
"Media, Past Present",008,"Media, Past Present",Communication Studies (COMM) Open Sections,,"  17",4.00
"Media, Past Present",009,"Media, Past Present",Communication Studies (COMM) Open Sections,,"  23",4.00
"Media, Past Present",010,"Media, Past Present",Communication Studies (COMM) Open Sections,,"  13",4.00
"Media, Past Present",011,"Media, Past Present",Communication Studies (COMM) Open Sections,,"  22",4.00
"Media, Past Present",012,"Media, Past Present",Communication Studies (COMM) Open Sections,,"  14",4.00
"Media, Past Present",013,"Media, Past Present",Communication Studies (COMM) Open Sections,,"  25",4.00
"Media, Past Present",001,"Media, Past Present",Communication Studies (COMM) Open Sections,," ",4.00
Process & Effects,005,Process & Effects,Communication Studies (COMM) Open Sections,,"   3",4.00
Process & Effects,008,Process & Effects,Communication Studies (COMM) Open Sections,,"   4",4.00
Process & Effects,010,Process & Effects,Communication Studies (COMM) Open Sections,,"   9",4.00
Process & Effects,011,Process & Effects,Communication Studies (COMM) Open Sections,,"   9",4.00
Process & Effects,012,Process & Effects,Communication Studies (COMM) Open Sections,,"  10",4.00
Process & Effects,013,Process & Effects,Communication Studies (COMM) Open Sections,,"   5",4.00
Process & Effects,014,Process & Effects,Communication Studies (COMM) Open Sections,,"   8",4.00
Process & Effects,015,Process & Effects,Communication Studies (COMM) Open Sections,,"   8",4.00
Process & Effects,001,Process & Effects,Communication Studies (COMM) Open Sections,," ",4.00
Process & Effects,002,Process & Effects,Communication Studies (COMM) Open Sections,," ",4.00
Process & Effects,003,Process & Effects,Communication Studies (COMM) Open Sections,," ",4.00
Quantitative Skills,004,Quantitative Skills,Communication Studies (COMM) Open Sections,,"  14",4.00
Quantitative Skills,001,Quantitative Skills,Communication Studies (COMM) Open Sections,," ",4.00
Views on the News,001,Views on the News,Communication Studies (COMM) Open Sections,," ",4.00
Media Topics in SS,001,Media Topics in SS,Communication Studies (COMM) Open Sections,," ",3.00-4.00
UG Research Prac,007,UG Research Prac,Communication Studies (COMM) Open Sections,,"  24",1.00-3.00
UG Research Prac,110,UG Research Prac,Communication Studies (COMM) Open Sections,,"  20",1.00-3.00
News Media Ethics,002,News Media Ethics,Communication Studies (COMM) Open Sections,,"   8",4.00
News Media Ethics,001,News Media Ethics,Communication Studies (COMM) Open Sections,," ",4.00
Fashion and Media,001,Fashion and Media,Communication Studies (COMM) Open Sections,," ",4.00
Public Relations,004,Public Relations,Communication Studies (COMM) Open Sections,,"   5",4.00
Public Relations,001,Public Relations,Communication Studies (COMM) Open Sections,," ",4.00
AI Literacy,003,AI Literacy,Communication Studies (COMM) Open Sections,,"   7",4.00
AI Literacy,004,AI Literacy,Communication Studies (COMM) Open Sections,,"  18",4.00
AI Literacy,001,AI Literacy,Communication Studies (COMM) Open Sections,," ",4.00
Social Networks,001,Social Networks,Communication Studies (COMM) Open Sections,," ",4.00
"Sports,Media&Culture",001,"Sports,Media&Culture",Communication Studies (COMM) Open Sections,," ",4.00
Visuality New Media,002,Visuality New Media,Communication Studies (COMM) Open Sections,,"  12",3.00
Proseminar,001,Proseminar,Communication Studies (COMM) Open Sections,,"   6",1.00
Unorthodox Res Meth,001,Unorthodox Res Meth,Communication Studies (COMM) Open Sections,,"  14",3.00
Media Theory Soc Sci,001,Media Theory Soc Sci,Communication Studies (COMM) Open Sections,,"  13",3.00
Research Methods I,001,Research Methods I,Communication Studies (COMM) Open Sections,,"  15",3.00
Topics in Hum Trad,001,Topics in Hum Trad,Communication Studies (COMM) Open Sections,,"  12",3.00
Topics Soc Sci Trad,001,Topics Soc Sci Trad,Communication Studies (COMM) Open Sections,,"  11",3.00
Diss-Precand,024,Diss-Precand,Communication Studies (COMM) Open Sections,,"  24",1.00-8.00
Diss-Precand,036,Diss-Precand,Communication Studies (COMM) Open Sections,,"  25",1.00-8.00
Diss-Precand,108,Diss-Precand,Communication Studies (COMM) Open Sections,,"  24",1.00-8.00
Diss-Precand,109,Diss-Precand,Communication Studies (COMM) Open Sections,,"  25",1.00-8.00
Diss-Precand,110,Diss-Precand,Communication Studies (COMM) Open Sections,,"  25",1.00-8.00
Sem for Instructors,001,Sem for Instructors,Communication Studies (COMM) Open Sections,,"   8",1.00
Diss-Cand,011,Diss-Cand,Communication Studies (COMM) Open Sections,,"  25",8.00
Diss-Cand,016,Diss-Cand,Communication Studies (COMM) Open Sections,,"  25",8.00
Diss-Cand,020,Diss-Cand,Communication Studies (COMM) Open Sections,,"  23",8.00
Diss-Cand,033,Diss-Cand,Communication Studies (COMM) Open Sections,,"  25",8.00
Diss-Cand,038,Diss-Cand,Communication Studies (COMM) Open Sections,,"  25",8.00
Diss-Cand,043,Diss-Cand,Communication Studies (COMM) Open Sections,,"  24",8.00
Diss-Cand,046,Diss-Cand,Communication Studies (COMM) Open Sections,,"  24",8.00
Diss-Cand,047,Diss-Cand,Communication Studies (COMM) Open Sections,,"  25",8.00
Diss-Cand,051,Diss-Cand,Communication Studies (COMM) Open Sections,,"  25",8.00
Principles Econ I,101,Principles Econ I,Economics (ECON) Open Sections,,"  22",4.00
Principles Econ I,102,Principles Econ I,Economics (ECON) Open Sections,,"   8",4.00
Principles Econ I,103,Principles Econ I,Economics (ECON) Open Sections,,"  26",4.00
Principles Econ I,104,Principles Econ I,Economics (ECON) Open Sections,,"  30",4.00
Principles Econ I,105,Principles Econ I,Economics (ECON) Open Sections,,"  31",4.00
Principles Econ I,106,Principles Econ I,Economics (ECON) Open Sections,,"  28",4.00
Principles Econ I,107,Principles Econ I,Economics (ECON) Open Sections,,"  29",4.00
Principles Econ I,108,Principles Econ I,Economics (ECON) Open Sections,,"  33",4.00
Principles Econ I,109,Principles Econ I,Economics (ECON) Open Sections,,"  29",4.00
Principles Econ I,110,Principles Econ I,Economics (ECON) Open Sections,,"  28",4.00
Principles Econ I,111,Principles Econ I,Economics (ECON) Open Sections,,"  30",4.00
Principles Econ I,100,Principles Econ I,Economics (ECON) Open Sections,," ",4.00
Principles Econ I,199,Principles Econ I,Economics (ECON) Open Sections,," ",4.00
Principles Econ I,201,Principles Econ I,Economics (ECON) Open Sections,,"  15",4.00
Principles Econ I,202,Principles Econ I,Economics (ECON) Open Sections,,"  27",4.00
Principles Econ I,204,Principles Econ I,Economics (ECON) Open Sections,,"   1",4.00
Principles Econ I,205,Principles Econ I,Economics (ECON) Open Sections,,"   1",4.00
Principles Econ I,206,Principles Econ I,Economics (ECON) Open Sections,,"  19",4.00
Principles Econ I,207,Principles Econ I,Economics (ECON) Open Sections,,"  17",4.00
Principles Econ I,208,Principles Econ I,Economics (ECON) Open Sections,,"  25",4.00
Principles Econ I,209,Principles Econ I,Economics (ECON) Open Sections,,"   3",4.00
Principles Econ I,210,Principles Econ I,Economics (ECON) Open Sections,,"  13",4.00
Principles Econ I,211,Principles Econ I,Economics (ECON) Open Sections,,"  16",4.00
Principles Econ I,200,Principles Econ I,Economics (ECON) Open Sections,," ",4.00
Principles Econ I,299,Principles Econ I,Economics (ECON) Open Sections,," ",4.00
Principles Econ I,301,Principles Econ I,Economics (ECON) Open Sections,,"  18",4.00
Principles Econ I,302,Principles Econ I,Economics (ECON) Open Sections,,"  25",4.00
